game_master,n_test,lam_Q,lam_QL,tau_QL,nll_Q_train,nll_QL_train,nll_Q_out,nll_QL_out,nll_Q_per_obs,nll_QL_per_obs,delta,delta_per_obs,I_tau_cond,log_I_tau_cond,se_tau,tau_informativity,z_log_I_tau_cond,info_rank
1,88,0.018423771060312493,0.01904949953087027,1.3818373473437138,5670.697053697983,5642.31866831191,396.5504385236086,387.59057627870186,4.506254983222825,4.40443836680343,8.95986224490673,0.10181661641939467,0.0443935435731803,-3.114661235136207,4.746135070967829,strong,1.6198008540142952,3
2,88,0.018149152252288064,0.01990761620935013,1.0834198518473015,5696.9206928520225,5659.173091159798,370.22293108423463,370.0271926406091,4.207078762320848,4.204854461825104,0.19573844362554382,0.002224300495744816,0.016188731230695,-4.123439881831361,7.859476026435765,medium,1.0224025642158725,2
3,88,0.018338620631530286,0.020141350611007133,1.1000470648398033,5696.992059000129,5657.82448901388,370.21067688658616,371.5495203072248,4.206939510074843,4.222153639854827,-1.338843420638625,-0.015214129779984376,0.0014674381621813,-6.52423714535676,26.104783481221062,weak,-0.39934856432107124,1
4,88,0.018033122272070958,0.019053136674748734,0.901158854679174,5740.842460783425,5718.1696930007965,326.292840960216,312.2414701921462,3.707873192729727,3.5481985249107524,14.051370768069773,0.15967466781897469,0.0003977411667552,-7.829709099025056,50.14177783458664,degenerate,-1.1724485055779783,0
5,88,0.017254697420559434,0.018573233815523588,1.2519838733058124,5766.48385092796,5727.898793277817,301.1600389736503,301.6498907114981,3.422273170155117,3.4278396671761144,-0.48985173784780045,-0.005566497020997732,2.9890185040643917e-05,-10.417980390966816,182.90926230635705,degenerate,-2.705221674801911,0
6,88,0.018195127301545978,0.019559274219429486,1.086383047097936,5673.516898786659,5638.34259649999,393.6359039434414,390.7315045923751,4.473135272084561,4.440130734004263,2.9043993510663313,0.03300453808029922,0.0051091750113597,-5.276717333718169,13.990222137525476,medium,0.3394321428282135,2
7,88,0.017818769921200742,0.019066001937033884,1.050600278966631,5655.629192291448,5623.833344275733,411.5472456527826,405.49049246858624,4.676673246054348,4.607846505324844,6.056753184196339,0.06882674072950384,0.0034041173818497,-5.682769585360911,17.13948374259049,medium,0.09896817038503256,2
8,88,0.017801327537287533,0.019041143853723574,1.0598688225681248,5657.029590964158,5625.061825802775,410.1534519065224,404.2429813709532,4.660834680755936,4.593670242851741,5.910470535569175,0.06716443790419517,0.0034041173818497,-5.682769585360911,17.13948374259049,medium,0.09896817038503256,2
9,88,0.019417889645170924,0.021459104899491203,1.087892151551865,5668.4775484402735,5626.585701054816,400.09789589418324,405.15995650807565,4.546566998797537,4.604090414864496,-5.062060613892413,-0.05752341606695924,0.0014571487178888,-6.5312736856747415,26.196788917034286,weak,-0.403515600534448,1
10,88,0.017841444243577233,0.018891958893040118,1.5423033115195603,5688.52424803812,5641.087604391825,378.6443405993882,390.2063341565546,4.302776597720321,4.434162888142666,-11.561993557166375,-0.13138629042234518,0.0225903513835654,-3.790232393795161,6.653321455030653,strong,1.2197278983245832,3
11,88,0.017996388147568647,0.01952910202397252,1.1683476055162652,5664.923501899625,5626.681168268794,402.2136208551764,402.37792621789345,4.5706093278997315,4.572476434294244,-0.16430536271707297,-0.0018671063945121928,0.0022012738722302,-6.11871905336076,21.313901804104955,weak,-0.15920092099576816,1
12,88,0.017796780537630195,0.019144582796122404,1.140135255535302,5639.207316139587,5604.175103606894,427.9775296384887,424.8988439993076,4.86338101861919,4.828395954537586,3.078685639181117,0.0349850640816036,0.0172546418213299,-4.059674080611689,7.612845670689498,medium,1.0601646448477893,2
13,88,0.01809067909941723,0.019524771926021454,1.0994505552393323,5739.134084130552,5701.907080087783,328.0026805892858,327.14464283201255,3.727303188514611,3.717552759454688,0.8580377572732232,0.00975042905992299,0.0012579510610674,-6.678271023632748,28.19474214542016,weak,-0.4905673621758412,1
14,88,0.017680066694156282,0.019181975066447816,1.155972661685419,5666.6739247869355,5629.289550276156,400.56872097660965,399.7680567832434,4.55191728382511,4.5428188270823116,0.8006641933662308,0.009098456742798078,0.0012949065859753,-6.649316720814406,27.789503026224843,weak,-0.47342063623883784,1
15,88,0.01853112955761959,0.019953705077100026,1.0530146428197662,5688.008583139741,5652.639669298934,379.31124381845507,376.638481979025,4.310355043391535,4.279982749761648,2.672761839430052,0.030372293629886957,0.0045583771165255,-5.390788614300464,14.811357826313504,medium,0.2718791785002796,2
16,88,0.017784554634428653,0.019234425818082154,1.1776063520009012,5691.676157247324,5652.62339512433,375.5137026286406,376.4342525875991,4.267201166234552,4.277661961222717,-0.9205499589584747,-0.010460794988164485,0.0032546598640646,-5.727667505228856,17.528598597052174,medium,0.07237964114475966,2
