subject_id,game_master,treatment,session,ll_E,post_E,ll_L1,post_L1,ll_L2,post_L2,ll_L3,post_L3,ll_D1,post_D1,ll_D2,post_D2,ll_S,post_S,t_hat,posterior_entropy,max_posterior,w_deep,cat,margin_L1_L2,margin_L2_L3
01_01,11,Baseline,1,-77.11441981569517,2.273012281406901e-13,-48.001919619485776,0.9999999353132694,-78.0899382098768,8.569185153684902e-14,-64.98606121898722,4.206113573979754e-08,-69.23631296677311,5.998188565926155e-10,-72.81936076115915,1.6669486785371986e-11,-65.63374330823976,2.2008793620223202e-08,L1,1.1802738658355856e-06,0.9999999353132694,6.40869118398858e-08,shallow,0.9999999353131837,-4.2061050047946e-08
01_01,12,Baseline,1,-72.98519062522931,1.2223322522469602e-11,-47.85751549572565,0.9999998225450486,-77.73906111881809,1.0534393771524491e-13,-63.768444052262254,1.2301878938761824e-07,-67.62647776790723,2.5968609463950344e-09,-70.18142818328995,2.017659275321041e-10,-64.6367710994675,5.162520673109518e-08,L1,3.0571824180821547e-06,0.9999998225450486,1.7485809071270572e-07,shallow,0.9999998225449432,-1.2301868404368053e-07
01_01,13,Baseline,1,-75.10542098233282,1.7989905151953485e-12,-48.061625593884166,0.9999999552096472,-80.92252239686155,5.354190616740929e-15,-65.09957129438045,3.985787858269707e-08,-70.04208804608726,2.8445032078538185e-10,-73.01454756634215,1.4557394807172875e-11,-67.25197559650898,4.631662104499858e-09,L1,8.194343682785506e-07,0.9999999552096472,4.450590242670992e-08,shallow,0.9999999552096419,-3.9857873228506455e-08
01_01,14,Baseline,1,-74.4359743215633,2.7796549268755208e-12,-47.827280048816334,0.9999999497933675,-80.65010966805237,5.561938649566402e-15,-64.64811674094038,4.9522598196332785e-08,-71.37267306032888,5.947928223641465e-11,-73.70595935797321,5.76809434553879e-12,-69.03505106720901,6.160018996210911e-10,L1,8.979060771294831e-07,0.9999999497933675,5.014715340716494e-08,shallow,0.9999999497933619,-4.9522592634394135e-08
01_01,15,Baseline,1,-74.68694169536569,2.3283800725612683e-12,-47.901093394416044,0.9999999629740752,-80.0584640261993,1.0820102278515254e-14,-65.12941336194648,3.2948503162998504e-08,-71.06203242140973,8.736389109339646e-11,-73.88060942765098,5.214822469897792e-12,-67.24244849878005,3.982503714696184e-09,L1,6.839219228499833e-07,0.9999999629740752,3.693856090033943e-08,shallow,0.9999999629740645,-3.2948492342896225e-08
01_01,16,Baseline,1,-77.16655962948323,2.2042043982422498e-13,-48.02332008903182,0.9999999581937704,-79.41797519831964,2.3199280002522006e-14,-65.12726612001543,3.731217810659074e-08,-69.02183052715992,7.593863219596172e-10,-71.99429004741481,3.886332934837439e-11,-67.43945421717791,3.69555840322437e-09,L1,7.686298941397334e-07,0.9999999581937704,4.104684345888331e-08,shallow,0.9999999581937472,-3.7312154907310736e-08
01_02,1,Baseline,1,-82.24308565227332,1.1141079298050707e-08,-63.93072498743642,0.9997339780104754,-85.01358197734436,6.977759541483594e-10,-72.18309349372801,0.0002605711608902041,-77.26892584396647,1.6113037663491663e-06,-78.7553510974241,3.644442788180082e-07,-76.50376442027644,3.463241733885813e-06,L1,0.0024870434703351623,0.9997339780104754,0.00026441068575816013,shallow,0.9997339773126994,-0.00026057046311424997
01_02,2,Baseline,1,-81.78867208955764,1.3863072211497336e-10,-59.08946653891468,0.9999981571900933,-84.00066370504823,1.5177622011820153e-11,-72.47222136495411,1.5414967948690086e-06,-76.44346754759037,2.905710365617686e-08,-78.76661778915287,2.8465642590042872e-09,-74.21706928536044,2.6925563590643294e-07,L1,2.710927175435717e-05,0.9999981571900933,1.8137528033785726e-06,shallow,0.9999981571749157,-1.5414816172469968e-06
01_02,3,Baseline,1,-84.51870003099647,1.1405632823264932e-09,-63.926968997722184,0.9999874440862282,-88.367632986046,2.4296797987737942e-11,-75.23938566934993,1.2220090142390368e-05,-81.28097000639788,2.9056792363833718e-08,-81.64793358924412,2.0131559124451146e-08,-78.99608386937224,2.8547041808195823e-07,L1,0.00015598161282867552,0.9999874440862282,1.2526856979677092e-05,shallow,0.9999874440619314,-1.222006584559238e-05
01_02,4,Baseline,1,-84.47337702941684,5.843196000157394e-11,-60.91021965619762,0.9999992577337445,-87.73707401372948,2.234831907645782e-12,-75.15620034861891,6.502028572378652e-07,-80.15612756415351,4.381351273427852e-09,-81.47884313380922,1.1672395673988352e-09,-77.17387064423565,8.645414057976472e-08,L1,1.152087223943777e-05,0.9999992577337445,7.37884904176938e-07,shallow,0.9999992577315097,-6.502006224059576e-07
01_02,5,Baseline,1,-84.47637073199868,4.3857602345029405e-10,-62.92888771191491,0.9999950725609076,-87.8638351701666,1.482135031701397e-11,-75.19705637035214,4.698940097318979e-06,-80.28288872059062,2.9057014025621282e-08,-81.60560429024633,7.741104139918166e-09,-78.3985803282449,1.9124747942930582e-07,L1,6.619203422025092e-05,0.9999950725609076,4.89838207826197e-06,shallow,0.9999950725460862,-4.698925275968662e-06
