game_master,pi_E,pi_L1,pi_L2,pi_L3,pi_D1,pi_D2
1,0.10227272727272728,0.32954545454545453,0.3181818181818182,0.06818181818181818,0.03409090909090909,0.14772727272727273
2,0.07954545454545454,0.3522727272727273,0.2840909090909091,0.056818181818181816,0.06818181818181818,0.1590909090909091
3,0.09090909090909091,0.3409090909090909,0.2840909090909091,0.056818181818181816,0.056818181818181816,0.17045454545454544
4,0.09090909090909091,0.36363636363636365,0.29545454545454547,0.056818181818181816,0.045454545454545456,0.14772727272727273
5,0.09090909090909091,0.3409090909090909,0.3068181818181818,0.056818181818181816,0.056818181818181816,0.14772727272727273
6,0.09090909090909091,0.2727272727272727,0.3181818181818182,0.07954545454545454,0.07954545454545454,0.1590909090909091
7,0.07954545454545454,0.3409090909090909,0.29545454545454547,0.056818181818181816,0.125,0.10227272727272728
8,0.07954545454545454,0.3409090909090909,0.29545454545454547,0.056818181818181816,0.125,0.10227272727272728
9,0.07954545454545454,0.36363636363636365,0.23863636363636365,0.09090909090909091,0.056818181818181816,0.17045454545454544
10,0.11363636363636363,0.3181818181818182,0.32954545454545453,0.03409090909090909,0.06818181818181818,0.13636363636363635
11,0.07954545454545454,0.375,0.22727272727272727,0.09090909090909091,0.07954545454545454,0.14772727272727273
12,0.07954545454545454,0.3522727272727273,0.3068181818181818,0.11363636363636363,0.056818181818181816,0.09090909090909091
13,0.06818181818181818,0.3522727272727273,0.2840909090909091,0.09090909090909091,0.06818181818181818,0.13636363636363635
14,0.10227272727272728,0.32954545454545453,0.2727272727272727,0.07954545454545454,0.056818181818181816,0.1590909090909091
15,0.06818181818181818,0.3409090909090909,0.2727272727272727,0.10227272727272728,0.06818181818181818,0.14772727272727273
16,0.06818181818181818,0.3409090909090909,0.2840909090909091,0.07954545454545454,0.06818181818181818,0.1590909090909091
